BuildingAddress,Country,State,ZIP,City,Neighborhood,Status2010,Status2011,Status2012,Status2013,Latitude,Longitude
132 2ND ST,USA,CA,94105,San Francisco,Fidi,NA,DidNotComply,DidNotComply,DidNotComply,37.78729892,-122.399363
132 HAWTHORNE ST,USA,CA,94107,San Francisco,South of Market,NA,NA,DidNotComply,DidNotComply,37.78399595,-122.3973578
1320 GOLDEN GATE AVE,USA,CA,94115,San Francisco,Western Addition,NA,NA,DidNotComply,DidNotComply,37.77978659,-122.4324887
1320 MARIN ST,USA,CA,94124,San Francisco,Bayview,DidNotComply,DidNotComply,DidNotComply,DidNotComply,37.74956866,-122.3888439
1320 VAN NESS AVE,USA,CA,94109,San Francisco,Downtown/Civic Center,DidNotComply,DidNotComply,DidNotComply,DidNotComply,37.78786014,-122.4213829
133 GOLDEN GATE AVE,USA,CA,94102,San Francisco,Downtown/Civic Center,NA,NA,DidNotComply,DidNotComply,37.78159958,-122.4131361
133 KEARNY ST,USA,CA,94108,San Francisco,Fidi,NA,DidNotComply,DidNotComply,DidNotComply,37.78926441,-122.4041531
133 TURK ST,USA,CA,94102,San Francisco,Downtown/Civic Center,NA,NA,DidNotComply,DidNotComply,37.78285194,-122.4113759
1330 Fitzgerald St,USA,CA,94124,San Francisco,Bayview,Complied,Complied,complied,Exempt - New Construction,37.72306136,-122.394357
1336 GROVE ST,USA,CA,94117,San Francisco,Haight Ashbury,NA,NA,DidNotComply,DidNotComply,37.77616867,-122.4387519
1337 SUTTER ST,USA,CA,94109,San Francisco,Western Addition,NA,NA,DidNotComply,DidNotComply,37.78721966,-122.4224562
1338 MISSION ST,USA,CA,94103,San Francisco,South of Market,NA,NA,DidNotComply,Complied,37.77608555,-122.4153904
134 GOLDEN GATE AVE,USA,CA,94102,San Francisco,Downtown/Civic Center,NA,Complied,Complied,Complied,37.7822678,-122.4129788
1345 OCEAN AVE,USA,CA,94112,San Francisco,Ocean View,NA,NA,DidNotComply,DidNotComply,37.72377018,-122.4568596
135 GOLDEN GATE AVE,USA,CA,94102,San Francisco,Downtown/Civic Center,NA,DidNotComply,DidNotComply,DidNotComply,37.78166769,-122.4130277
115 MAIN ST,USA,CA,94105,San Francisco,Fidi,Complied,Complied,Complied,DidNotComply,37.79166257,-122.3941691
135 MISSISSIPPI ST,USA,CA,94107,San Francisco,Potrero Hill,NA,NA,NA,NA,37.76471292,-122.3945954
1355 FAIRFAX AVE,USA,CA,94124,San Francisco,Bayview,NA,NA,DidNotComply,DidNotComply,37.73919534,-122.3839947
1355 FRANKLIN ST,USA,CA,94109,San Francisco,Western Addition,NA,NA,Complied,Complied,37.7870282,-122.423619
1301 MARKET ST,USA,CA,94103,San Francisco,South of Market,NA,NA,Complied,Complied,37.77714945,-122.4162383
1355 SUTTER ST,USA,CA,94109,San Francisco,Western Addition,DidNotComply,DidNotComply,DidNotComply,DidNotComply,37.78732474,-122.4225546
1355 VAN NESS AVE,USA,CA,94109,San Francisco,Western Addition,Complied,Complied,DidNotComply,DidNotComply,37.78815994,-122.42248
1359 PINE ST,USA,CA,94109,San Francisco,Nob Hill,DidNotComply,DidNotComply,DidNotComply,Complied,37.78962745,-122.4182835
1360 FAIRFAX AVE,USA,CA,94124,San Francisco,Bayview,NA,NA,DidNotComply,DidNotComply,37.74005603,-122.384424
1360 MISSION ST,USA,CA,94103,San Francisco,South of Market,NA,Complied,Complied,Complied,37.77586389,-122.4155486
1363 DIVISADERO ST,USA,CA,94115,San Francisco,Western Addition,NA,NA,Complied,Complied,37.78229589,-122.4394471
1375 MISSION ST,USA,CA,94103,San Francisco,Mid-Market,NA,NA,Complied,Complied,37.77538352,-122.4152805
